"strain","treatment","background","knockout","Sample","rep","ref_genome","start","stop","locus_tag","gene","counts","rpk","rpm","tpm"
"T7Hi","wt","wt","wt","PA62","1","T7Hi",9157,9856,"T7p17","2.5",138254,197788.268955651,17.1627186700536,11524.2970975666
"T7Hi","wt","wt","wt","PA62","1","T7Hi",9856,10276,"T7p18","2.8",101284,241152.380952381,17.1627186700536,14050.9429530623
"T7Hi","wt","wt","wt","PA62","1","T7Hi",10256,10706,"T7p19","3",76530,170066.666666667,17.1627186700536,9909.07500939274
"T7Hi","wt","wt","wt","PA62","1","T7Hi",10705,11161,"T7p20","3.5",168493,369502.192982456,17.1627186700536,21529.3509196292
"T7Hi","wt","wt","wt","PA62","1","T7Hi",11224,11590,"T7p21","3.8",6987,19090.1639344262,17.1627186700536,1112.3041926764
"T7Hi","wt","wt","wt","PA62","1","T7Hi",11564,13265,"T7p22","4A",64084,37674.3092298648,17.1627186700536,2195.12479078276
"T7Hi","wt","wt","wt","PA62","1","T7Hi",11634,11757,"T7p23","4.1",5606,45577.2357723577,17.1627186700536,2655.59534293848
"T7Hi","wt","wt","wt","PA62","1","T7Hi",11753,13265,"T7p24","4B",59747,39515.2116402116,17.1627186700536,2302.38649248267
"T7Hi","wt","wt","wt","PA62","1","T7Hi",12987,13326,"T7p25","4.2",18258,53858.407079646,17.1627186700536,3138.10463919221
"T7Hi","wt","wt","wt","PA62","1","T7Hi",13351,13564,"T7p26","4.3",23858,112009.389671362,17.1627186700536,6526.31974133568
"T7Hi","wt","wt","wt","PA62","1","T7Hi",13583,13853,"T7p27","4.5",29455,109092.592592593,17.1627186700536,6356.37014681962
"T7Hi","wt","wt","wt","PA62","1","T7Hi",13926,14334,"T7p28","4.7",19548,47911.7647058824,17.1627186700536,2791.61860233025
"T7Hi","wt","wt","wt","PA62","1","T7Hi",14352,16467,"T7p29","5",122296,57823.1678486998,17.1627186700536,3369.11470497926
"T7Hi","wt","wt","wt","PA62","1","T7Hi",16482,16839,"T7p30","5.3",27648,77445.3781512605,17.1627186700536,4512.41901939412
"T7Hi","wt","wt","wt","PA62","1","T7Hi",16850,17359,"T7p31","5.5-5.7",56297,110603.143418468,17.1627186700536,6444.38364018944
"T7Hi","wt","wt","wt","PA62","1","T7Hi",16850,17150,"T7p32","5.5",38251,127503.333333333,17.1627186700536,7429.0871851094
"T7Hi","wt","wt","wt","PA62","1","T7Hi",17149,17359,"T7p33","5.7",32789,156138.095238095,17.1627186700536,9097.51527364559
"T7Hi","wt","wt","wt","PA62","1","T7Hi",17358,17517,"T7p34","5.9",25191,158433.962264151,17.1627186700536,9231.28586501825
"T7Hi","wt","wt","wt","PA62","1","T7Hi",17503,18406,"T7p35","6",133289,147606.866002215,17.1627186700536,8600.43614533906
"T7Hi","wt","wt","wt","PA62","1","T7Hi",18393,18507,"T7p36","6.3",28255,247850.877192982,17.1627186700536,14441.2363773954
"T7Hi","wt","wt","wt","PA62","1","T7Hi",18604,18859,"T7p37","6.5",122924,482054.901960784,17.1627186700536,28087.3276098091
"T7Hi","wt","wt","wt","PA62","1","T7Hi",18863,19130,"T7p38","6.7",180096,674516.853932584,17.1627186700536,39301.2824424789
"T7Hi","wt","wt","wt","PA62","1","T7Hi",19129,19531,"T7p39","7",269123,669460.199004975,17.1627186700536,39006.6522603486
"T7Hi","wt","wt","wt","PA62","1","T7Hi",19534,19834,"T7p40","7.3",215789,719296.666666667,17.1627186700536,41910.4152724784
"T7Hi","wt","wt","wt","PA62","1","T7Hi",19847,20240,"T7p41","7.7",217616,553730.279898219,17.1627186700536,32263.5527939053
"T7Hi","wt","wt","wt","PA62","1","T7Hi",20239,21850,"T7p42","8",751144,466259.466170081,17.1627186700536,27166.993477766
"T7Hi","wt","wt","wt","PA62","1","T7Hi",21949,22873,"T7p43","9",1221509,1321979.43722944,17.1627186700536,77026.2254275654
"T7Hi","wt","wt","wt","PA62","1","T7Hi",22966,24162,"T7p44","10B",2530828,2116076.92307692,17.1627186700536,123294.972303494
"T7Hi","wt","wt","wt","PA62","1","T7Hi",22966,24004,"T7p45","10A",2230650,2148988.43930636,17.1627186700536,125212.589020411
"T7Hi","wt","wt","wt","PA62","1","T7Hi",24227,24818,"T7p46","11",116709,197477.157360406,17.1627186700536,11506.1699231238
"T7Hi","wt","wt","wt","PA62","1","T7Hi",24841,27226,"T7p47","12",443181,185820.125786164,17.1627186700536,10826.9633359656
"T7Hi","wt","wt","wt","PA62","1","T7Hi",27306,27723,"T7p48","13",82702,198326.139088729,17.1627186700536,11555.6365457868
"T7Hi","wt","wt","wt","PA62","1","T7Hi",27727,28318,"T7p49","14",211502,357871.404399323,17.1627186700536,20851.6734020558
"T7Hi","wt","wt","wt","PA62","1","T7Hi",28324,30568,"T7p50","15",632614,281913.547237077,17.1627186700536,16425.9260235369
"T7Hi","wt","wt","wt","PA62","1","T7Hi",30594,34551,"T7p51","16",719533,181838.008592368,17.1627186700536,10594.9419837341
"T7Hi","wt","wt","wt","PA62","1","T7Hi",34623,36285,"T7p52","17",609616,366796.630565584,17.1627186700536,21371.709087418
"T7Hi","wt","wt","wt","PA62","1","T7Hi",36343,36547,"T7p53","17.5",76216,373607.843137255,17.1627186700536,21768.5700220178
"T7Hi","wt","wt","wt","PA62","1","T7Hi",36552,36822,"T7p54","18",98020,363037.037037037,17.1627186700536,21152.6532606097
"T7Hi","wt","wt","wt","PA62","1","T7Hi",36916,37348,"T7p55","18.5",90701,209956.018518519,17.1627186700536,12233.2610907886
"T7Hi","wt","wt","wt","PA62","1","T7Hi",37031,37283,"T7p56","18.7",63926,253674.603174603,17.1627186700536,14780.560588995
"T7Hi","wt","wt","wt","PA62","1","T7Hi",37369,39130,"T7p57","19",316807,179901.76036343,17.1627186700536,10482.1248790456
"T7Hi","wt","wt","wt","PA62","1","T7Hi",38015,38273,"T7p58","19.2",56516,219054.263565891,17.1627186700536,12763.3778643769
"T7Hi","wt","wt","wt","PA62","1","T7Hi",38552,38726,"T7p59","19.3",48656,279632.183908046,17.1627186700536,16293.0005020686
"T7Hi","wt","wt","wt","PA62","1","T7Hi",39388,39538,"T7p60","19.5",111182,741213.333333333,17.1627186700536,43187.4079848806
"T7Hi","wt","wt","wt","PA117","2","T7Hi",890,1468,"T7p01","0.3",11734,20301.0380622837,23.5517667104515,861.975167802373
"T7Hi","wt","wt","wt","PA117","2","T7Hi",1277,1433,"T7p02","0.4",1,6.41025641025641,23.5517667104515,0.272177305807456
"T7Hi","wt","wt","wt","PA117","2","T7Hi",1468,3138,"T7p03","0.7",15154,9074.25149700599,23.5517667104515,385.289630649201
"T7Hi","wt","wt","wt","PA117","2","T7Hi",1495,1639,"T7p04","0.5",0,0,23.5517667104515,0
"T7Hi","wt","wt","wt","PA117","2","T7Hi",1635,1972,"T7p05","0.6B",2,5.93471810089021,23.5517667104515,0.251986111014618
"T7Hi","wt","wt","wt","PA117","2","T7Hi",1635,1797,"T7p06","0.6A",0,0,23.5517667104515,0
"T7Hi","wt","wt","wt","PA117","2","T7Hi",3138,5887,"T7p07","1",63809,23211.7133503092,23.5517667104515,985.56145004649
"T7Hi","wt","wt","wt","PA117","2","T7Hi",5887,6448,"T7p08","1.2",102306,182363.636363636,23.5517667104515,7743.097942742
"T7Hi","wt","wt","wt","PA117","2","T7Hi",6006,6135,"T7p09","1.1",27390,212325.581395349,23.5517667104515,9015.27193291729
"T7Hi","wt","wt","wt","PA117","2","T7Hi",6448,7588,"T7p10","1.3",206968,181550.877192982,23.5517667104515,7708.58846493314
"T7Hi","wt","wt","wt","PA117","2","T7Hi",7607,7763,"T7p11","1.4",13754,88166.6666666667,23.5517667104515,3743.52666407575
"T7Hi","wt","wt","wt","PA117","2","T7Hi",7790,7880,"T7p12","1.5",31067,345188.888888889,23.5517667104515,14656.6027565017
"T7Hi","wt","wt","wt","PA117","2","T7Hi",7905,8166,"T7p13","1.6",72704,278559.38697318,23.5517667104515,11827.5367787829
"T7Hi","wt","wt","wt","PA117","2","T7Hi",8165,8756,"T7p14","1.7",182094,308111.675126904,23.5517667104515,13082.3168773226
"T7Hi","wt","wt","wt","PA117","2","T7Hi",8748,8895,"T7p15","1.8",77818,529374.149659864,23.5517667104515,22477.0462516914
"T7Hi","wt","wt","wt","PA117","2","T7Hi",8897,9092,"T7p16","2",76521,392415.384615385,23.5517667104515,16661.8236941539
"T7Hi","wt","wt","wt","PA117","2","T7Hi",9157,9856,"T7p17","2.5",344624,493024.320457797,23.5517667104515,20933.6448734018
"T7Hi","wt","wt","wt","PA117","2","T7Hi",9856,10276,"T7p18","2.8",217295,517369.047619048,23.5517667104515,21967.313704303
"T7Hi","wt","wt","wt","PA117","2","T7Hi",10256,10706,"T7p19","3",278861,619691.111111111,23.5517667104515,26311.873700588
"T7Hi","wt","wt","wt","PA117","2","T7Hi",10705,11161,"T7p20","3.5",361458,792671.052631579,23.5517667104515,33656.5431535044
"T7Hi","wt","wt","wt","PA117","2","T7Hi",11224,11590,"T7p21","3.8",17268,47180.3278688525,23.5517667104515,2003.26066612724
"T7Hi","wt","wt","wt","PA117","2","T7Hi",11564,13265,"T7p22","4A",134321,78965.9024103469,23.5517667104515,3352.86534471762
"T7Hi","wt","wt","wt","PA117","2","T7Hi",11634,11757,"T7p23","4.1",13579,110398.37398374,23.5517667104515,4687.47739144125
"T7Hi","wt","wt","wt","PA117","2","T7Hi",11753,13265,"T7p24","4B",124556,82378.3068783069,23.5517667104515,3497.75487720631
"T7Hi","wt","wt","wt","PA117","2","T7Hi",12987,13326,"T7p25","4.2",50711,149589.970501475,23.5517667104515,6351.53924291769
"T7Hi","wt","wt","wt","PA117","2","T7Hi",13351,13564,"T7p26","4.3",69517,326370.892018779,23.5517667104515,13857.597013049
"T7Hi","wt","wt","wt","PA117","2","T7Hi",13583,13853,"T7p27","4.5",64793,239974.074074074,23.5517667104515,10189.2175234388
"T7Hi","wt","wt","wt","PA117","2","T7Hi",13926,14334,"T7p28","4.7",30913,75767.1568627451,23.5517667104515,3217.04769728049
"T7Hi","wt","wt","wt","PA117","2","T7Hi",14352,16467,"T7p29","5",187482,88643.9716312057,23.5517667104515,3763.79287044604
"T7Hi","wt","wt","wt","PA117","2","T7Hi",16482,16839,"T7p30","5.3",56152,157288.515406162,23.5517667104515,6678.4168398018
"T7Hi","wt","wt","wt","PA117","2","T7Hi",16850,17359,"T7p31","5.5-5.7",97700,191944.990176817,23.5517667104515,8149.9189651721
"T7Hi","wt","wt","wt","PA117","2","T7Hi",16850,17150,"T7p32","5.5",64061,213536.666666667,23.5517667104515,9066.69420141235
"T7Hi","wt","wt","wt","PA117","2","T7Hi",17149,17359,"T7p33","5.7",55551,264528.571428571,23.5517667104515,11231.7931253617
"T7Hi","wt","wt","wt","PA117","2","T7Hi",17358,17517,"T7p34","5.9",43728,275018.867924528,23.5517667104515,11677.2075447947
"T7Hi","wt","wt","wt","PA117","2","T7Hi",17503,18406,"T7p35","6",204124,226050.941306755,23.5517667104515,9598.04604409747
"T7Hi","wt","wt","wt","PA117","2","T7Hi",18393,18507,"T7p36","6.3",47673,418184.210526316,23.5517667104515,17755.9592733542
"T7Hi","wt","wt","wt","PA117","2","T7Hi",18604,18859,"T7p37","6.5",177191,694866.666666667,23.5517667104515,29503.8022076836
"T7Hi","wt","wt","wt","PA117","2","T7Hi",18863,19130,"T7p38","6.7",190883,714917.602996255,23.5517667104515,30355.1581410238
"T7Hi","wt","wt","wt","PA117","2","T7Hi",19129,19531,"T7p39","7",302579,752684.07960199,23.5517667104515,31958.7098859966
"T7Hi","wt","wt","wt","PA117","2","T7Hi",19534,19834,"T7p40","7.3",273520,911733.333333333,23.5517667104515,38711.8870759168
"T7Hi","wt","wt","wt","PA117","2","T7Hi",19847,20240,"T7p41","7.7",317066,806783.715012723,23.5517667104515,34255.7619957529
"T7Hi","wt","wt","wt","PA117","2","T7Hi",20239,21850,"T7p42","8",971176,602840.471756673,23.5517667104515,25596.4012877706
"T7Hi","wt","wt","wt","PA117","2","T7Hi",21949,22873,"T7p43","9",1131195,1224237.01298701,23.5517667104515,51980.6869708733
"T7Hi","wt","wt","wt","PA117","2","T7Hi",22966,24162,"T7p44","10B",2956706,2472162.20735786,23.5517667104515,104967.166062357
"T7Hi","wt","wt","wt","PA117","2","T7Hi",22966,24004,"T7p45","10A",2704152,2605156.06936416,23.5517667104515,110614.040186127
"T7Hi","wt","wt","wt","PA117","2","T7Hi",24227,24818,"T7p46","11",156852,265401.015228426,23.5517667104515,11268.8367922161
"T7Hi","wt","wt","wt","PA117","2","T7Hi",24841,27226,"T7p47","12",453700,190230.607966457,23.5517667104515,8077.12687991424
"T7Hi","wt","wt","wt","PA117","2","T7Hi",27306,27723,"T7p48","13",83166,199438.848920863,23.5517667104515,8468.10565732885
"T7Hi","wt","wt","wt","PA117","2","T7Hi",27727,28318,"T7p49","14",222946,377235.194585448,23.5517667104515,16017.2779912109
"T7Hi","wt","wt","wt","PA117","2","T7Hi",28324,30568,"T7p50","15",636680,283725.490196078,23.5517667104515,12046.8877636331
"T7Hi","wt","wt","wt","PA117","2","T7Hi",30594,34551,"T7p51","16",781659,197538.286580743,23.5517667104515,8387.40842711737
"T7Hi","wt","wt","wt","PA117","2","T7Hi",34623,36285,"T7p52","17",801359,482165.463297232,23.5517667104515,20472.5814935685
"T7Hi","wt","wt","wt","PA117","2","T7Hi",36343,36547,"T7p53","17.5",101371,496916.666666667,23.5517667104515,21098.9125688882
"T7Hi","wt","wt","wt","PA117","2","T7Hi",36552,36822,"T7p54","18",99497,368507.407407407,23.5517667104515,15646.6991176452
"T7Hi","wt","wt","wt","PA117","2","T7Hi",36916,37348,"T7p55","18.5",124297,287724.537037037,23.5517667104515,12216.6859316484
"T7Hi","wt","wt","wt","PA117","2","T7Hi",37031,37283,"T7p56","18.7",73147,290265.873015873,23.5517667104515,12324.5901925083
"T7Hi","wt","wt","wt","PA117","2","T7Hi",37369,39130,"T7p57","19",380065,215823.395797842,23.5517667104515,9163.78794216177
"T7Hi","wt","wt","wt","PA117","2","T7Hi",38015,38273,"T7p58","19.2",78944,305984.496124031,23.5517667104515,12991.9975807269
"T7Hi","wt","wt","wt","PA117","2","T7Hi",38552,38726,"T7p59","19.3",57135,328362.068965517,23.5517667104515,13942.1417086219
"T7Hi","wt","wt","wt","PA117","2","T7Hi",39388,39538,"T7p60","19.5",80675,537833.333333333,23.5517667104515,22836.2203118572
"T7Hi","wt","wt","wt","PA133","3","T7Hi",890,1468,"T7p01","0.3",5883,10178.2006920415,8.48281092173521,1199.86178944084
"T7Hi","wt","wt","wt","PA133","3","T7Hi",1277,1433,"T7p02","0.4",1,6.41025641025641,8.48281092173521,0.755675974555985
"T7Hi","wt","wt","wt","PA133","3","T7Hi",1468,3138,"T7p03","0.7",9354,5601.19760479042,8.48281092173521,660.299711554181
"T7Hi","wt","wt","wt","PA133","3","T7Hi",1495,1639,"T7p04","0.5",1,6.94444444444444,8.48281092173521,0.818648972435651
"T7Hi","wt","wt","wt","PA133","3","T7Hi",1635,1972,"T7p05","0.6B",0,0,8.48281092173521,0
"T7Hi","wt","wt","wt","PA133","3","T7Hi",1635,1797,"T7p06","0.6A",0,0,8.48281092173521,0
"T7Hi","wt","wt","wt","PA133","3","T7Hi",3138,5887,"T7p07","1",28072,10211.7133503092,8.48281092173521,1203.81244430948
"T7Hi","wt","wt","wt","PA133","3","T7Hi",5887,6448,"T7p08","1.2",45144,80470.5882352941,8.48281092173521,9486.31166929669
"T7Hi","wt","wt","wt","PA133","3","T7Hi",6006,6135,"T7p09","1.1",10920,84651.1627906977,8.48281092173521,9979.14059050862
"T7Hi","wt","wt","wt","PA133","3","T7Hi",6448,7588,"T7p10","1.3",83733,73450,8.48281092173521,8658.68645165739
"T7Hi","wt","wt","wt","PA133","3","T7Hi",7607,7763,"T7p11","1.4",6942,44500,8.48281092173521,5245.90261536765
"T7Hi","wt","wt","wt","PA133","3","T7Hi",7790,7880,"T7p12","1.5",10273,114144.444444444,8.48281092173521,13455.9694301303
"T7Hi","wt","wt","wt","PA133","3","T7Hi",7905,8166,"T7p13","1.6",26743,102463.601532567,8.48281092173521,12078.9679833636
"T7Hi","wt","wt","wt","PA133","3","T7Hi",8165,8756,"T7p14","1.7",70210,118798.646362098,8.48281092173521,14004.6321270352
"T7Hi","wt","wt","wt","PA133","3","T7Hi",8748,8895,"T7p15","1.8",26229,178428.571428571,8.48281092173521,21034.1327980552
"T7Hi","wt","wt","wt","PA133","3","T7Hi",8897,9092,"T7p16","2",26093,133810.256410256,8.48281092173521,15774.2825632715
"T7Hi","wt","wt","wt","PA133","3","T7Hi",9157,9856,"T7p17","2.5",111009,158811.158798283,8.48281092173521,18721.5252424603
"T7Hi","wt","wt","wt","PA133","3","T7Hi",9856,10276,"T7p18","2.8",77069,183497.619047619,8.48281092173521,21631.6997679919
"T7Hi","wt","wt","wt","PA133","3","T7Hi",10256,10706,"T7p19","3",89834,199631.111111111,8.48281092173521,23533.603772731
"T7Hi","wt","wt","wt","PA133","3","T7Hi",10705,11161,"T7p20","3.5",132775,291173.245614035,8.48281092173521,34325.0896784664
"T7Hi","wt","wt","wt","PA133","3","T7Hi",11224,11590,"T7p21","3.8",5846,15972.6775956284,8.48281092173521,1882.94631850183
"T7Hi","wt","wt","wt","PA133","3","T7Hi",11564,13265,"T7p22","4A",56805,33395.0617283951,8.48281092173521,3936.79194744611
"T7Hi","wt","wt","wt","PA133","3","T7Hi",11634,11757,"T7p23","4.1",5466,44439.0243902439,8.48281092173521,5238.7144780487
"T7Hi","wt","wt","wt","PA133","3","T7Hi",11753,13265,"T7p24","4B",52226,34541.0052910053,8.48281092173521,4071.88202232612
"T7Hi","wt","wt","wt","PA133","3","T7Hi",12987,13326,"T7p25","4.2",24241,71507.3746312684,8.48281092173521,8429.6791819381
"T7Hi","wt","wt","wt","PA133","3","T7Hi",13351,13564,"T7p26","4.3",33496,157258.215962441,8.48281092173521,18538.4558742791
"T7Hi","wt","wt","wt","PA133","3","T7Hi",13583,13853,"T7p27","4.5",33888,125511.111111111,8.48281092173521,14795.934068213
"T7Hi","wt","wt","wt","PA133","3","T7Hi",13926,14334,"T7p28","4.7",8909,21835.7843137255,8.48281092173521,2574.12130426913
"T7Hi","wt","wt","wt","PA133","3","T7Hi",14352,16467,"T7p29","5",52812,24970.2127659574,8.48281092173521,2943.62481921849
"T7Hi","wt","wt","wt","PA133","3","T7Hi",16482,16839,"T7p30","5.3",15903,44546.218487395,8.48281092173521,5251.35110264638
"T7Hi","wt","wt","wt","PA133","3","T7Hi",16850,17359,"T7p31","5.5-5.7",33124,65076.6208251473,8.48281092173521,7671.58686260515
"T7Hi","wt","wt","wt","PA133","3","T7Hi",16850,17150,"T7p32","5.5",23353,77843.3333333333,8.48281092173521,9176.59653757908
"T7Hi","wt","wt","wt","PA133","3","T7Hi",17149,17359,"T7p33","5.7",18192,86628.5714285714,8.48281092173521,10212.2483016338
"T7Hi","wt","wt","wt","PA133","3","T7Hi",17358,17517,"T7p34","5.9",15700,98742.1383647799,8.48281092173521,11640.2616156133
"T7Hi","wt","wt","wt","PA133","3","T7Hi",17503,18406,"T7p35","6",79312,87831.6722037652,8.48281092173521,10354.0763803561
"T7Hi","wt","wt","wt","PA133","3","T7Hi",18393,18507,"T7p36","6.3",16304,143017.543859649,8.48281092173521,16859.68780622
"T7Hi","wt","wt","wt","PA133","3","T7Hi",18604,18859,"T7p37","6.5",53531,209925.490196078,8.48281092173521,24747.1613045381
"T7Hi","wt","wt","wt","PA133","3","T7Hi",18863,19130,"T7p38","6.7",71567,268041.198501873,8.48281092173521,31598.1578482529
"T7Hi","wt","wt","wt","PA133","3","T7Hi",19129,19531,"T7p39","7",90071,224057.213930348,8.48281092173521,26413.0859449259
"T7Hi","wt","wt","wt","PA133","3","T7Hi",19534,19834,"T7p40","7.3",89070,296900,8.48281092173521,35000.1907079248
"T7Hi","wt","wt","wt","PA133","3","T7Hi",19847,20240,"T7p41","7.7",87024,221435.114503817,8.48281092173521,26103.9785687597
"T7Hi","wt","wt","wt","PA133","3","T7Hi",20239,21850,"T7p42","8",318781,197877.715704531,8.48281092173521,23326.9039626377
"T7Hi","wt","wt","wt","PA133","3","T7Hi",21949,22873,"T7p43","9",380721,412035.714285714,8.48281092173521,48573.0164313777
"T7Hi","wt","wt","wt","PA133","3","T7Hi",22966,24162,"T7p44","10B",1139071,952400.501672241,8.48281092173521,112274.16365393
"T7Hi","wt","wt","wt","PA133","3","T7Hi",22966,24004,"T7p45","10A",1018788,981491.329479769,8.48281092173521,115703.549039968
"T7Hi","wt","wt","wt","PA133","3","T7Hi",24227,24818,"T7p46","11",45752,77414.551607445,8.48281092173521,9126.04941000022
"T7Hi","wt","wt","wt","PA133","3","T7Hi",24841,27226,"T7p47","12",141039,59135.8490566038,8.48281092173521,6971.25629725897
"T7Hi","wt","wt","wt","PA133","3","T7Hi",27306,27723,"T7p48","13",26450,63429.2565947242,8.48281092173521,7477.38658564246
"T7Hi","wt","wt","wt","PA133","3","T7Hi",27727,28318,"T7p49","14",76698,129776.649746193,8.48281092173521,15298.7790183641
"T7Hi","wt","wt","wt","PA133","3","T7Hi",28324,30568,"T7p50","15",215089,95850.7130124777,8.48281092173521,11299.4046309441
"T7Hi","wt","wt","wt","PA133","3","T7Hi",30594,34551,"T7p51","16",243135,61444.2759666414,8.48281092173521,7243.38624702867
"T7Hi","wt","wt","wt","PA133","3","T7Hi",34623,36285,"T7p52","17",295601,177858.604091456,8.48281092173521,20966.9419408766
"T7Hi","wt","wt","wt","PA133","3","T7Hi",36343,36547,"T7p53","17.5",35181,172455.882352941,8.48281092173521,20330.0396465355
"T7Hi","wt","wt","wt","PA133","3","T7Hi",36552,36822,"T7p54","18",44493,164788.888888889,8.48281092173521,19426.212656309
"T7Hi","wt","wt","wt","PA133","3","T7Hi",36916,37348,"T7p55","18.5",39191,90719.9074074074,8.48281092173521,10694.5572929085
"T7Hi","wt","wt","wt","PA133","3","T7Hi",37031,37283,"T7p56","18.7",27071,107424.603174603,8.48281092173521,12663.7979044603
"T7Hi","wt","wt","wt","PA133","3","T7Hi",37369,39130,"T7p57","19",145705,82739.9204997161,8.48281092173521,9753.832929096
"T7Hi","wt","wt","wt","PA133","3","T7Hi",38015,38273,"T7p58","19.2",33640,130387.596899225,8.48281092173521,15370.8007996662
"T7Hi","wt","wt","wt","PA133","3","T7Hi",38552,38726,"T7p59","19.3",21284,122321.83908046,8.48281092173521,14419.9652932307
"T7Hi","wt","wt","wt","PA133","3","T7Hi",39388,39538,"T7p60","19.5",38992,259946.666666667,8.48281092173521,30643.9303038825
"T7Hi","wt","wt","wt","PA139","4","T7Hi",890,1468,"T7p01","0.3",14682,25401.384083045,36.6728565073151,692.648091865388
"T7Hi","wt","wt","wt","PA139","4","T7Hi",1277,1433,"T7p02","0.4",0,0,36.6728565073151,0
"T7Hi","wt","wt","wt","PA139","4","T7Hi",1468,3138,"T7p03","0.7",23172,13875.4491017964,36.6728565073151,378.357467164541
"T7Hi","wt","wt","wt","PA139","4","T7Hi",1495,1639,"T7p04","0.5",1,6.94444444444444,36.6728565073151,0.189361972472999
"T7Hi","wt","wt","wt","PA139","4","T7Hi",1635,1972,"T7p05","0.6B",0,0,36.6728565073151,0
"T7Hi","wt","wt","wt","PA139","4","T7Hi",1635,1797,"T7p06","0.6A",0,0,36.6728565073151,0
"T7Hi","wt","wt","wt","PA139","4","T7Hi",3138,5887,"T7p07","1",108321,39403.7831938887,36.6728565073151,1074.46724762302
"T7Hi","wt","wt","wt","PA139","4","T7Hi",5887,6448,"T7p08","1.2",93180,166096.256684492,36.6728565073151,4529.1333292066
"T7Hi","wt","wt","wt","PA139","4","T7Hi",6006,6135,"T7p09","1.1",18882,146372.093023256,36.6728565073151,3991.29238798344
"T7Hi","wt","wt","wt","PA139","4","T7Hi",6448,7588,"T7p10","1.3",239145,209776.315789474,36.6728565073151,5720.20659878593
"T7Hi","wt","wt","wt","PA139","4","T7Hi",7607,7763,"T7p11","1.4",13241,84878.2051282051,36.6728565073151,2314.46942539844
"T7Hi","wt","wt","wt","PA139","4","T7Hi",7790,7880,"T7p12","1.5",18218,202422.222222222,36.6728565073151,5519.67426322095
"T7Hi","wt","wt","wt","PA139","4","T7Hi",7905,8166,"T7p13","1.6",43480,166590.038314176,36.6728565073151,4542.59782793158
"T7Hi","wt","wt","wt","PA139","4","T7Hi",8165,8756,"T7p14","1.7",97035,164187.817258883,36.6728565073151,4477.09376623369
"T7Hi","wt","wt","wt","PA139","4","T7Hi",8748,8895,"T7p15","1.8",37063,252129.25170068,36.6728565073151,6875.09170850621
"T7Hi","wt","wt","wt","PA139","4","T7Hi",8897,9092,"T7p16","2",32752,167958.974358974,36.6728565073151,4579.92614579864
"T7Hi","wt","wt","wt","PA139","4","T7Hi",9157,9856,"T7p17","2.5",150025,214628.040057225,36.6728565073151,5852.50401790798
"T7Hi","wt","wt","wt","PA139","4","T7Hi",9856,10276,"T7p18","2.8",168868,402066.666666667,36.6728565073151,10963.6037374527
"T7Hi","wt","wt","wt","PA139","4","T7Hi",10256,10706,"T7p19","3",153912,342026.666666667,36.6728565073151,9326.42557032454
"T7Hi","wt","wt","wt","PA139","4","T7Hi",10705,11161,"T7p20","3.5",271969,596423.245614035,36.6728565073151,16263.3430394239
